label	idx	zh	ja	emotion	speed
ch2	19	一個願望，換一段記憶。任何記憶，由你來選。	願いひとつと、記憶ひとつ。どの記憶かは、あなたが選びなさい。	calm	0.85
ch2	20	你交出來的那一段，會從你這裡，變成我的。你不會痛。	差し出したその記憶は、あなたのものから、わたしのものになる。痛くはないわ。	calm	0.85
ch2	21	你只會，慢慢想不起來。	ただ、少しずつ——思い出せなくなるだけ。	calm	0.8
b_worst	6	……聰明。也很無禮。	……賢いのね。そして、無礼だわ。	calm	0.85
b_worst	7	你把不要的東西推給我，還當作付了帳。	いらないものをわたしに押しつけて、それで払ったつもりでいるの。	calm	0.85
b_worst	8	孩子，殘渣抵不了帳。你留著吧——反正你也丟不掉。	坊や、残り滓では勘定にならないのよ。持っていなさい——どうせ、捨てられないのだから。	calm	0.85
b_happy	7	哦。哦，親愛的。這才是真正的代價。你懂得古老的規矩。	まあ。まあ、愛しい子。それこそが本当の代価よ。古い決まりを、あなたは知っているのね。	happy	0.85
b_none	5	……或許是明智的。不交易的人，留得住自己的名字。	……賢明かもしれないわね。取引をしない者は、自分の名前を手放さずにいられる。	calm	0.85
b_none	6	不過小客人——你已經喝了我的茶，坐了我的桌。這些，可不是交易。	けれど小さなお客様——あなたはもう、わたしのお茶を飲み、わたしの席に着いた。それは、取引ではないのよ。	calm	0.85
b_none	7	這些叫作，做客。	それは——客になる、ということ。	calm	0.8
p2_none	3	你很守規矩。	行儀がいいのね。	calm	0.85
p2_none	4	他們一開始，也是。	あの子たちも、最初はそうだったわ。	calm	0.8
p2_seen	4	紙很脆。下次慢一點。	紙は脆いのよ。次は、もっとゆっくり。	calm	0.85
ch2_out	5	好了。茶也喝過了，帳也算過了。	さあ。お茶も済んだし、勘定も済んだわ。	calm	0.85
ch2_out	6	那就只剩下最後一件事。	あとは、最後のひとつだけ。	calm	0.8
ch3	11	小客人，茶會到了最後一道茶點。	小さなお客様。お茶会は、最後の一皿よ。	calm	0.85
ch3	12	故事到了結尾，壞人總要露出真面目的——你說，是不是？	物語の終わりには、悪役は正体を見せるものでしょう——そうじゃなくて？	calm	0.85
ch3	15	看看，真正的我吧。	ご覧なさい。本当のわたしを。	calm	0.8
t_veil	11	那不是你能掀開的東西。	それは、あなたが上げていいものではない。	angry	0.8
t_veil	17	……原諒我。	……許してちょうだい。	sad	0.8
t_veil	18	茶都涼了，也變苦了，是不是？	お茶が冷めて、苦くなってしまったわね。	calm	0.85
t_veil	19	我幫你換一杯吧。	淹れ直させましょう。	calm	0.85
t_gaze	12	……哦。	……あら。	surprised	0.8
t_gaze	13	你沒有移開視線。	目を、逸らさなかったのね。	calm	0.8
t_gaze	14	從來沒有人……敢一直看著。	今まで誰も……見続けてはくれなかった。	sad	0.8
t_gaze	15	謝謝你，小客人。	ありがとう、小さなお客様。	calm	0.8
t_bow	7	有始有終的禮數。	最後まで礼儀正しいのね。	calm	0.85
t_bow	8	你母親把你教得很好。	お母様は、あなたをよく育てたわ。	calm	0.85
t_bow	9	她一定很愛你吧。	きっと、あなたを愛していたのでしょうね。	calm	0.8
ask_tw	2	現在，該你問我了。	さあ。今度はあなたが、わたしに訊く番よ。	calm	0.85
ask_tw	3	不過在那之前——你袖子裡有我的東西。	その前に——袖の中に、わたしのものがあるでしょう。	calm	0.85
ask_tw	5	沒關係。我沒打算拿回來。那些字，本來就是寫給人讀的。	構わないわ。返してもらうつもりはないの。あの言葉は、もともと読まれるために書いたのだから。	calm	0.85
ask_tw	6	而你呢，小客人——這一路上，你連自己是誰都沒說過。	それであなたは、小さなお客様——ここまで、自分が誰かも言わなかったのね。	calm	0.85
ask_tw	7	你讀過我了。那就問吧——我是什麼？	わたしを読んだのなら、訊きなさい——わたしは、何かしら？	calm	0.85
ask_past	7	……	……。	calm	0.8
ask_past	8	從來沒有人問過我，以前是什麼。	今まで誰も、以前は何だったのかなんて、訊かなかった。	melancholic	0.8
ask_past	9	他們只問我是什麼。沒有人問過「以前」。	みんな、わたしが何かとしか訊かないの。「以前」を訊いた人は、いなかった。	melancholic	0.8
ask_past	11	那很久了，小客人。久到我自己……也快想不起來了。	ずいぶん昔のことよ、小さなお客様。わたし自身……もう思い出せなくなりそうなほど。	melancholic	0.8
ask_twelve	3	十二個。是的。	十二人。ええ。	calm	0.85
ask_twelve	4	他們的杯子還在架上。你進門的時候就看見了，對不對？	あの子たちのカップは、まだ棚にあるわ。入ってきたときに、見たでしょう？	calm	0.85
ask_twelve	6	每一個，我都記得。名字、來的那一夜、喝了幾口。	一人残らず、覚えているの。名前も、来た夜も、何口飲んだかも。	calm	0.8
ask_twelve	7	我把他們寫下來了。這樣他們就不會不見。	書き留めておいたのよ。そうすれば、いなくならないから。	calm	0.8
ask_monster	5	……是的。	……ええ。	calm	0.8
ask_monster	6	那是簡短的版本。	それが、短いほうの答え。	calm	0.85
ask_monster	7	簡短的版本總是最好記。故事書就是這樣寫的——壞人只需要一句話交代。	短いほうは、いつだって覚えやすいの。物語というのはそういうものよ——悪役には、一言あれば足りる。	calm	0.85
ask_monster	8	那你要不要聽，長一點的版本？	長いほうも、聞いてみる？	calm	0.85
ask_monster	9	……算了。茶要涼了。	……いいえ、やめておきましょう。お茶が冷めるわ。	calm	0.8
ask_none	4	……每一個客人都會問。	……客はみんな、訊くのよ。	calm	0.8
ask_none	5	十二個，一個不漏。	十二人、一人残らず。	calm	0.8
ask_none	6	你是第一個沒問的。	訊かなかったのは、あなたが初めて。	calm	0.8
ask_none	7	你知道嗎，小客人——不問的人，我反而最想留下來。	知っているかしら、小さなお客様——訊かない人ほど、わたしは手元に置いておきたくなるの。	calm	0.8
tw_t_join	1	壺快涼了。	ポットが、冷めかけているわ。	calm	0.85
tw_t_join	2	涼了之後，茶會就散了。你會走出那扇門，回到你自己的夜裡。	冷めてしまえば、お茶会はおしまい。あなたはあの扉を出て、自分の夜へ帰っていく。	calm	0.85
tw_t_join	3	所以，還剩最後一個問題。	だから——最後にひとつだけ、訊かせて。	calm	0.8
tw_t_join	5	當你離開這個房間……	この部屋を出たあと……	calm	0.8
tw_t_join	6	你會記得我嗎？	わたしのこと、覚えていてくれる？	calm	0.75
q_sweet	7	嘴真甜。	口がお上手ね。	happy	0.85
q_sweet	8	我會把這句承諾，縫進裙襬裡。	その約束は、裾に縫い込んでおくわ。	calm	0.85
q_sweet	9	這樣，它就跑不掉了。	そうすれば、逃げていかないもの。	calm	0.8
q_truth	10	……你讀過了。	……読んだのね。	calm	0.8
q_truth	11	卻仍然留下來，喝完了這壺茶。	それでも残って、このお茶を飲み干してくれた。	melancholic	0.8
q_honest	6	誠實。	正直ね。	calm	0.85
q_honest	7	無禮，卻清新的誠實。	無礼だけれど、清々しい正直さ。	calm	0.85
q_honest	8	像一杯放涼了的茶。放涼了，才嚐得出它本來的味道。	冷めたお茶みたい。冷めてはじめて、本当の味がわかるのよ。	calm	0.85
end_devoured	18	別怕。	怖がらないで。	calm	0.8
end_devoured	19	每個故事，都需要一個被吃掉的角色。	どんな物語にも、食べられる役がひとつは要るのよ。	calm	0.8
end_devoured	22	你演得很好。真的。	よく演じてくれたわ。本当に。	calm	0.8
end_fled	9	小客人。	小さなお客様。	calm	0.8
end_fled	10	你這就要走了？	もう、行ってしまうの？	calm	0.85
end_fled	12	你確實，什麼都沒喝。	確かに、あなたは何も飲まなかったわね。	calm	0.85
end_fled	13	而沒有那一口茶，我就取不走你的任何一部分。	あの一口がなければ、わたしはあなたの、どの一部も取れない。	calm	0.85
end_fled	15	所以，我只好——	だから、仕方がないの——	calm	0.8
end_fled	16	整個收下。	まるごと、いただくわ。	calm	0.75
end_unfed	6	你喝了我的茶。你坐了我的桌。	わたしのお茶を飲んだ。わたしの席に着いた。	calm	0.8
end_unfed	8	你聽完了我的故事，還讓我替你添了三次水。	わたしの話を最後まで聞いて、お湯を三度も注ぎ足させた。	calm	0.8
end_unfed	9	而你沒有給我任何一樣，值得嚥下的東西。	それなのに、飲み込む価値のあるものを、ひとつもくれなかった。	calm	0.8
end_taken	2	你什麼都沒餵我，小客人。	何も食べさせてくれなかったわね、小さなお客様。	calm	0.85
end_taken	3	可是你問了我，以前是什麼。	けれどあなたは訊いた——以前は何だったのかと。	calm	0.85
end_taken	4	十二個人裡面，沒有一個問過。	十二人のうち、誰ひとり訊かなかったことを。	calm	0.8
end_taken	5	那我就不吃你了。	だから、あなたは食べないでおくわ。	calm	0.8
end_taken	6	我把你留下來。	手元に、置いておくの。	calm	0.75
end_woven	2	留下吧。	いなさい。	calm	0.8
end_woven	3	對我的心頭好而言，茶會永遠不會散。	わたしのお気に入りにとって、お茶会は永遠に終わらないのよ。	happy	0.8
end_bring_home	5	十二位客人讀過這些。	十二人の客が、これを読んだわ。	melancholic	0.8
end_bring_home	6	然後他們叫我怪物。	そして、わたしを化け物と呼んだ。	melancholic	0.8
end_bring_home	8	你讀過了，然後問我以前是誰。	あなたは読んで——以前は誰だったのかと、訊いてくれた。	melancholic	0.8
end_secret	7	十二位客人。十二個杯子。	十二人の客。十二のカップ。	calm	0.8
end_secret	8	你，是第十三位。	あなたは、十三人目。	calm	0.8
end_secret	10	也是第一個，把我的故事還給我的人。	そして、わたしの物語を返してくれた、最初の人。	melancholic	0.8
end_guest	2	一個愉快的夜晚。	楽しい夜だったわ。	happy	0.85
end_guest	3	這可不多見。	めったにないことよ。	calm	0.85
end_guest	4	你可以走了，小客人。	お行きなさい、小さなお客様。	calm	0.8
